"","X","Country","Date","Annual.GDP","GDP.per.capita","Debt","Debt.Per.Capita","Deficit...M...","Expenditure..M...","Expenditure.Per.Capita","Corruption.Index","Exports","Exports...GDP","Imports","Imports...GDP","Population","Fertility.Rate","Crude.death.rate","HDI","Life.expectancy","CO2.Tons.per.capita","Continent","status"
"1",1,"Albania",2016,11862,4124,8700,3024,-209,3457.5,1202,39,1959,0.1652,4613.4,0.3889,2876591,1.54,0.0074,0.782,78.5,1.6,"Europe","Developing"
"2",2,"Albania",2015,11389,3954,8395,2919,-462,3459.2,1203,36,1916.7,0.1684,4302.2,0.3782,2875592,1.59,0.0078,0.776,77.9,1.61,"Europe","Developing"
"3",3,"Albania",2014,13246,4585,9534,3304,-723,4201.8,1456,33,2429.5,0.1833,5222.2,0.3953,2885796,1.73,0.0071,0.773,78.2,1.73,"Europe","Developing"
"4",4,"Albania",2013,12784,4416,8999,3111,-667,3731.9,1290,31,2339.4,0.183,4920,0.3843,2892394,1.73,0.0071,0.771,77.9,1.6,"Europe","Developing"
"5",5,"Albania",2012,12324,4249,7654,2641,-424,3476.8,1200,33,1966.9,0.1597,4879.4,0.3961,2897770,1.71,0.0072,0.767,77.25,1.56,"Europe","Developing"
"6",6,"Albania",2011,12899,4440,7665,2640,-454,3731.6,1285,31,1947.2,0.1511,5383.2,0.4172,2903008,1.65,0.0069,0.752,76.91,1.7,"Europe","Developing"
"7",7,"Albania",2010,11937,4098,6884,2368,-420,3505,1206,33,1544.4,0.1299,4405.6,0.3699,2907361,1.63,0.0069,0.741,76.56,1.56,"Europe","Developing"
"8",8,"Albania",2009,12044,4114,7194,2465,-794,3940.2,1350,32,1091.1,0.09,4552.6,0.3762,2918674,1.63,0.007,0.729,76.22,1.45,"Europe","Developing"
"9",9,"Albania",2008,12881,4371,7104,2419,-629,4087.3,1392,30,1027.4,0.0799,5574.8,0.4313,2936355,1.58,0.0054,0.724,75.91,1.41,"Europe","Developing"
"10",10,"Albania",2007,10677,3595,5717,1933,-339,3129,1058,29,1078.6,0.0339,4191.4,0.39,2958266,1.62,0.0049,0.72,75.65,1.41,"Europe","Developing"
"11",11,"Albania",2006,8896,2973,5043,1691,-290,2596.7,871,26,789.7,0.0257,3060.4,0.3428,2981755,1.67,0.0056,0.711,75.42,1.36,"Europe","Developing"
"12",12,"Albania",2005,8052,2674,4684,1560,-278,2325.1,774,24,658.8,0.0246,2619.2,0.3237,3003329,1.79,0.0057,0.704,75.23,1.36,"Europe","Developing"
"13",13,"Albania",2004,7185,2374,4131,1368,-371,2167.6,718,20,605.4,0.0197,2309,0.3219,3019634,1.86,0.0059,0.694,75.04,1.43,"Europe","Developing"
"14",14,"Albania",2003,5611,1846,3381,1114,-281,1665.8,549,25,448,0.0181,1864.1,0.3344,3034231,2.06,0.0059,0.689,74.83,1.36,"Europe","Developing"
"15",15,"Albania",2002,4348,1425,2789,916,-270,1372.1,451,25,339.6,0.0195,1503.7,0.3441,3044993,1.9,0.0053,0.682,74.58,1.29,"Europe","Developing"
"16",16,"Angola",2016,101124,3677,76534,2783,-4572,22297,811,18,27588.9,0.2728,13040.5,0.129,27503000,5.69,0.00872,0.577,59.93,1.16,"Africa","Developing"
"17",17,"Angola",2015,116194,4355,66331,2486,-3389,31428.2,1178,15,33181.1,0.2856,20692.5,0.1781,26681000,5.77,0.00905,0.572,59.4,1.18,"Africa","Developing"
"18",18,"Angola",2014,145712,5626,57993,2239,-8333,53108.2,2050,19,59169.9,0.4061,28580.3,0.1961,25901000,5.86,0.00945,0.564,58.78,1.11,"Africa","Developing"
"19",19,"Angola",2013,136710,5437,45317,1802,-415,50649.1,2014,23,68246.5,0.4992,26331,0.1926,25147000,5.95,0.00992,0.554,58.05,1.05,"Africa","Developing"
"20",20,"Angola",2012,128053,5245,34157,1399,5287,47617.4,1950,22,71093.3,0.5552,23716.9,0.1852,24414000,6.04,0.01045,0.543,57.24,1.01,"Africa","Developing"
"21",21,"Angola",2011,111790,4716,33049,1394,9036,41820.2,1764,20,67310.3,0.6021,20228.4,0.181,23703000,6.12,0.01104,0.535,56.33,1.03,"Africa","Developing"
"22",22,"Angola",2010,83799,3641,31116,1352,2843,32984.8,1433,19,50594.9,0.6038,16666.9,0.1989,23013000,6.19,0.01168,0.52,55.35,1.03,"Africa","Developing"
"23",23,"Angola",2009,70307,3147,39628,1774,-5559,31677.9,1418,19,40827.9,0.5807,22659.9,0.3223,22342000,6.26,0.01237,0.522,54.31,0.95,"Africa","Developing"
"24",24,"Angola",2008,88539,4082,27786,1281,-3750,46636.5,2150,10,63914,0.7219,20982,0.237,21692000,6.32,0.01309,0.502,53.24,0.9,"Africa","Developing"
"25",25,"Angola",2007,65266,3099,13733,652,2814,24882.4,1182,22,44396.2,0.6802,13661,0.2093,21060000,6.37,0.01382,0.492,52.18,0.83,"Africa","Developing"
"26",26,"Angola",2006,52381,2562,9810,480,4935,16029.8,784,22,31862.2,0.6083,8777.6,0.1676,20446000,6.42,0.01454,0.471,51.14,0.84,"Africa","Developing"
"27",27,"Angola",2005,36971,1862,12365,623,2650,9801.9,494,20,24109,0.6521,8353,0.2259,19851000,6.46,0.01524,0.455,50.17,0.83,"Africa","Developing"
"28",28,"Angola",2004,23552,1222,11243,583,279,7022.4,364,20,13475,0.5721,5832,0.2476,19273000,6.5,0.0159,0.442,49.26,0.93,"Africa","Developing"
"29",29,"Angola",2003,17813,952,10329,552,-835,6129.4,328,18,9508,0.5338,5480,0.3076,18711000,6.53,0.01652,0.429,48.44,0.96,"Africa","Developing"
"30",30,"Angola",2002,15286,841,11280,621,-389,4776.3,263,17,8328,0.5448,3760,0.246,18166000,6.57,0.01709,0.418,47.7,0.91,"Africa","Developing"
"31",31,"Argentina",2016,556774,12773,295506,6779,-37062,231246.9,5305,36,57910,0.1039,55852,0.1002,43590000,2.29,0.00763,0.822,76.22,4.87,"South America","Developing"
"32",32,"Argentina",2015,642464,14895,337658,7828,-38547,265733.9,6161,32,56784,0.0881,60205,0.0934,43132000,2.3,0.00764,0.822,76.07,4.88,"South America","Developing"
"33",33,"Argentina",2014,563614,13209,251853,5902,-23961,218924,5131,34,68405,0.1211,65735,0.1163,42670000,2.31,0.00765,0.82,75.91,4.86,"South America","Developing"
"34",34,"Argentina",2013,611471,14489,265959,6302,-19896,229924.6,5448,34,75963.1,0.1243,74441.8,0.1218,42203000,2.32,0.00767,0.82,75.76,4.73,"South America","Developing"
"35",35,"Argentina",2012,579666,13890,234248,5613,-17484,213308,5111,34,79982.4,0.1378,67974.2,0.1171,41733000,2.33,0.00768,0.818,75.6,4.86,"South America","Developing"
"36",36,"Argentina",2011,527644,12788,205480,4980,-14490,184196.2,4464,26,84051.1,0.1592,74319.3,0.1407,41261000,2.34,0.00769,0.819,75.44,4.78,"South America","Developing"
"37",37,"Argentina",2010,424729,10413,184410,4521,-5913,141564,3471,26,68187.3,0.1605,56792.5,0.1337,40788000,2.35,0.00771,0.813,75.28,4.64,"South America","Developing"
"38",38,"Argentina",2009,334633,8338,185581,4624,-6131,115657.3,2882,27,55672.1,0.1667,38785.8,0.1161,40134000,2.36,0.00772,0.799,75.12,4.56,"South America","Developing"
"39",39,"Argentina",2008,363545,9147,195665,4923,1280,111850.6,2814,20,70018.3,0.1921,57461.7,0.1577,39746000,2.37,0.00774,0.795,74.95,4.85,"South America","Developing"
"40",40,"Argentina",2007,287921,7316,178875,4545,2179,85073.7,2162,29,55778.8,0.1938,44706,0.1553,39356000,2.38,0.00775,0.792,74.79,4.6,"South America","Developing"
"41",41,"Argentina",2006,232892,5976,164862,4230,3843,61984.9,1591,29,46546,0.2,34152,0.1468,38971000,2.4,0.00776,0.787,74.62,4.45,"South America","Developing"
"42",42,"Argentina",2005,199273,5164,159893,4143,6653,48647,1261,28,40351,0.2026,28688.7,0.1441,38592000,2.42,0.00778,0.782,74.45,4.23,"South America","Developing"
"43",43,"Argentina",2004,164911,4314,194481,5088,6545,37995.5,994,20,34575.7,0.2101,22445.2,0.1364,38226000,2.44,0.00779,0.78,74.28,4.19,"South America","Developing"
"44",44,"Argentina",2003,138071,3646,178321,4709,2137,31380.7,829,25,29566,0.214,13834,0.1001,37870000,2.46,0.0078,0.775,74.11,3.82,"South America","Developing"
"45",45,"Argentina",2002,108731,2898,165662,4416,-2153,24593.4,656,28,25650,0.2527,8990,0.0886,37516000,2.49,0.00782,0.769,73.93,3.51,"South America","Developing"
"46",46,"Australia",2016,1267750,51979,513048,21035,-31791,473502.8,19414,79,192504.5,0.1468,196269.5,0.1496,24390000,1.75,0.0066,0.938,82.45,17.22,"Oceania","Developed"
"47",47,"Australia",2015,1235125,51497,465465,19406,-34610,461183.5,19228,79,187683.5,0.1505,208500.8,0.1672,23985000,1.81,0.0066,0.936,82.4,16.89,"Oceania","Developed"
"48",48,"Australia",2014,1457486,61653,495779,20972,-42528,536652.1,22701,80,239974.8,0.1637,237351.8,0.1619,23640000,1.83,0.0066,0.933,82.3,16.82,"Oceania","Developed"
